unique_id,school_name,grade,start_date,end_date
11335809,Washington Middle School,8,2018-08-14,2018-10-08
1147005,Washington Middle School,7,2018-08-13,2019-01-29
1155574,Washington Middle School,8,2018-08-13,2018-09-26
1166872,Washington Middle School,8,2018-09-17,2018-10-25
1166872,Washington Middle School,8,2018-10-30,2018-11-16
1166872,Washington Middle School,8,2018-11-29,2019-01-22
1167301,Washington Middle School,8,2018-08-13,2019-05-13
1176329,Washington Middle School,8,2018-08-13,2018-09-21
1184332,Washington Middle School,8,2018-08-13,2018-10-25
1188946,Washington Middle School,7,2018-08-22,2018-10-12
1188946,Washington Middle School,7,2018-10-22,2019-01-22
1194054,Washington Middle School,7,2018-08-13,2018-11-28
1222312,Washington Middle School,8,2018-08-13,2019-03-19
1222983,Washington Middle School,7,2018-08-14,2019-03-19
1229907,Washington Middle School,7,2018-08-13,2019-01-22
1229907,Washington Middle School,7,2019-01-28,2019-04-12
1230476,Washington Middle School,8,2018-08-14,2018-08-24
1235159,Washington Middle School,8,2018-08-13,2018-11-07
1237354,Washington Middle School,7,2018-08-30,2018-10-16
1237788,Washington Middle School,8,2018-08-13,2018-10-26
1239364,Washington Middle School,7,2018-08-14,2018-10-07
1260188,Washington Middle School,6,2018-08-13,2018-08-31
1263771,Washington Middle School,6,2018-08-14,2018-10-11
1263771,Washington Middle School,6,2018-10-12,2019-03-12
1264339,Washington Middle School,7,2018-08-13,2019-01-07
1268098,Washington Middle School,7,2018-08-13,2018-12-10
1269893,Washington Middle School,7,2018-08-13,2019-01-22
1270681,Washington Middle School,7,2018-08-13,2018-09-26
1271967,Washington Middle School,7,2018-08-16,2018-10-15
1273644,Washington Middle School,7,2018-08-14,2018-11-21
1274344,Washington Middle School,6,2018-08-13,2018-12-11
1279785,Washington Middle School,7,2018-08-13,2019-01-08
1280282,Washington Middle School,7,2018-08-13,2018-12-10
1280282,Washington Middle School,7,2019-01-09,2019-03-11
1283026,Washington Middle School,6,2018-08-16,2018-11-29
1284439,Washington Middle School,7,2018-08-27,2018-12-06
1300522,Washington Middle School,7,2018-08-13,2019-03-05
1302371,Washington Middle School,6,2018-08-14,2019-01-28
1303534,Washington Middle School,6,2018-08-13,2018-08-27
1306652,Washington Middle School,6,2018-08-13,2018-10-15
1306882,Washington Middle School,6,2018-08-13,2019-01-31
1310265,Washington Middle School,6,2018-08-13,2019-04-08
1311398,Washington Middle School,6,2018-08-13,2019-03-13
1314264,Washington Middle School,7,2018-08-13,2019-03-01
1316982,Washington Middle School,6,2018-08-13,2018-09-20
1321606,Washington Middle School,6,2018-08-13,2018-11-05
1325719,Washington Middle School,6,2018-08-13,2018-12-12
1326680,Washington Middle School,6,2018-08-13,2019-02-07
1327523,Washington Middle School,6,2018-08-13,2019-04-29
1329467,Washington Middle School,6,2018-08-13,2018-10-16
1338058,Washington Middle School,8,2018-08-13,2019-03-21
1342652,Washington Middle School,7,2018-08-23,2018-12-21
1342917,Washington Middle School,6,2018-08-13,2018-10-19
12069070,Washington Middle School,6,2018-08-13,2019-03-12
12112777,Washington Middle School,6,2018-08-13,2019-01-22
12131268,Washington Middle School,6,2018-08-27,2018-08-28
12131471,Washington Middle School,6,2018-11-02,2018-12-12
12131471,Washington Middle School,6,2019-01-14,2019-02-21
12145784,Washington Middle School,8,2018-08-13,2018-11-27
12159426,Washington Middle School,6,2018-08-13,2018-10-16
12172604,Washington Middle School,8,2018-08-13,2018-09-14
12181861,Washington Middle School,6,2018-08-27,2018-09-06
12181861,Washington Middle School,6,2018-09-28,2018-10-02
12185059,Washington Middle School,7,2018-08-13,2018-08-14
